Jurisdictions,Effective Date,Valid Through Date,Bans_Prohibit,Prohibit_Req,Prohibit_When_12 weeks postfertilization (14 weeks LMP),Prohibit_When_13 weeks postfertilization (15 weeks LMP),Prohibit_When_18 weeks postfertilization (20 weeks LMP),Prohibit_When20 weeks postfertilization (22 weeks LMP),Prohibit_When_22 weeks postfertilization (24 weeks LMP),Prohibit_When_24 weeks postfertilization (26 weeks LMP),Prohibit_When_25 weeks postfertilization (27 weeks LMP),Prohibit_When_Viability,Prohibit_When_3rd trimester,Prohibit_When_Fetal heartbeat,Prohibit_ExcLife endangerment,Prohibit_ExcSerious health risk,Prohibit_Exc_Fetal anomaly,Prohibit_Exc_Rape,Prohibit_Exc_Incest,Prohibit_Exc_Health,Exc_Req_Must be performed in a hospital,Exc_ReqMust use a method most likely to result in fetal survival,Exc_Req_Second physician must participate,Exc_Req_Second physician must certify the exception,Exc_Req_Two other physicians must certify the exception,Exc_Req_Second physician must attend the abortion,Exc_Req_No requirements,Reason_Prohibit,Reason_What_Race,Reason_What_Sex,Reason_What_Down syndrome,Reason_What_Fetal anomaly,Methods_Prohibit,Methods_ProcedPartial-birth abortions,Methods_ProcedDismemberment abortions,Methods_Proced_Saline method abortions,Methods_ExcLife endangerment,Methods_ExcSerious health risk,Methods_Exc_Fetal anomaly,Methods_Exc_No exceptions,Limited_Law,Limited_Court,Limited_AG
New York,9/7/16,12/1/18,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,0,.,.,.,.,.,.,.,1,0,1
North Carolina,10/1/15,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,.,.,.,.,.,.,.,0,0,0
North Dakota,4/16/14,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
Ohio,3/23/18,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
Oklahoma,11/1/17,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0
Oregon,12/1/18,12/1/18,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Pennsylvania,1/16/90,12/1/18,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,.,.,.,.,.,.,.,0,0,0
Rhode Island,1/2/02,12/1/18,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,1,1,0,0,1,0,0,0,1,1,0
South Carolina,5/25/16,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,.,.,.,.,1,1,0,0,1,1,0,0,0,0,0
South Dakota,7/1/17,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Tennessee,7/1/17,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,1,1,0,0,1,0,0,0,0,0,0
Texas,9/1/17,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,1,1,1,0,1,1,0,0,1,1,0
Utah,5/8/18,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,.,.,.,.,1,1,0,1,1,1,0,0,0,0,0
Vermont,12/1/18,12/1/18,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Virginia,7/1/09,12/1/18,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,.,.,.,.,1,1,0,0,1,1,0,0,0,0,0
Washington,11/5/91,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
West Virginia,5/29/16,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,1,1,1,0,1,1,1,0,1,1,0
Wisconsin,2/1/16,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,1,1,0,0,1,0,0,0,1,1,0
Wyoming,7/1/17,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
